"age","monthsSinceM","pregnancies","children","sons","literacy","ageMarried_15_18","ageMarried_18_20","ageMarried_20_22","ageMarried_22_25","ageMarried_25_30","ageMarried_30_plus","region_10_20k","region_20k_plus","region_lisbon","region_lt10k","region_porto"
22,52,3,2,2,1,0,1,0,0,0,0,0,0,0,1,0
20,19,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
25,38,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
28,42,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
48,256,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
33,199,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0
34,240,5,5,4,1,0,0,0,0,0,0,0,0,0,1,0
46,312,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
42,207,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
32,205,4,4,2,1,1,0,0,0,0,0,0,0,0,1,0
46,222,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
33,109,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
37,227,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
28,73,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
42,291,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
33,103,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
22,48,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
24,50,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
24,57,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
35,202,6,5,2,1,0,1,0,0,0,0,0,0,0,1,0
46,257,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
23,17,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
36,222,4,4,1,1,1,0,0,0,0,0,0,0,0,1,0
23,69,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
33,154,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
30,102,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
28,46,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
32,66,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
33,133,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
41,270,9,9,6,1,0,1,0,0,0,0,0,0,0,1,0
37,54,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
35,135,3,3,2,0,0,0,0,1,0,0,0,0,0,1,0
25,117,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0
34,119,5,4,1,0,0,0,0,1,0,0,0,0,0,1,0
37,231,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0
39,229,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0
29,173,3,3,2,1,1,0,0,0,0,0,0,0,0,1,0
24,125,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0
30,100,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0
29,77,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
28,127,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
39,242,4,4,2,1,0,1,0,0,0,0,0,0,0,1,0
32,144,3,3,1,1,0,0,1,0,0,0,0,0,0,1,0
30,64,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
34,117,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
33,166,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
37,248,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
41,193,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0
30,93,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
28,58,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
49,289,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
23,19,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
26,76,2,2,2,1,0,0,1,0,0,0,0,0,0,1,0
20,10,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
46,227,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
33,106,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
42,217,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
37,182,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0
40,249,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
43,133,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
31,144,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
23,54,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
28,42,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0
39,219,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
30,120,6,6,3,1,0,0,1,0,0,0,0,1,0,0,0
32,156,6,6,3,1,0,1,0,0,0,0,0,1,0,0,0
29,82,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
39,189,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0
43,244,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0
40,219,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0
46,291,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
40,195,4,4,3,1,0,0,0,1,0,0,0,1,0,0,0
40,206,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0
34,182,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0
42,158,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
32,168,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0
41,232,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
27,82,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
31,158,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0
39,144,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0
25,61,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
48,353,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0
40,181,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0
21,16,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
41,147,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
43,211,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0
37,137,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
41,196,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0
35,140,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0
36,187,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0
39,157,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0
38,203,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0
33,148,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0
24,56,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
36,130,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0
31,87,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
25,89,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0
45,323,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
44,277,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0
46,313,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
46,311,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0
16,32,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
45,297,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
23,60,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
29,82,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
41,269,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
41,225,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
35,205,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
38,211,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
48,225,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
47,307,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
21,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
47,173,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0
49,287,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
26,125,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0
33,81,4,5,1,1,0,0,0,0,1,0,0,0,0,1,0
35,174,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
48,294,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0
43,280,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
36,229,7,7,4,1,1,0,0,0,0,0,1,0,0,0,0
23,93,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0
26,82,4,3,3,0,0,1,0,0,0,0,1,0,0,0,0
49,224,11,11,7,1,1,0,0,0,0,0,1,0,0,0,0
22,110,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0
15,43,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
39,205,4,4,2,0,0,0,0,1,0,0,1,0,0,0,0
26,58,3,3,1,1,0,0,0,1,0,0,1,0,0,0,0
33,91,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
39,271,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0
19,19,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
42,146,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0
34,168,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
33,99,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
25,30,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
27,76,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
32,145,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
24,75,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0
28,57,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
34,106,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
25,64,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
48,345,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0
23,83,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0
31,139,5,4,2,1,0,1,0,0,0,0,1,0,0,0,0
30,85,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
49,337,4,4,2,0,0,0,1,0,0,0,1,0,0,0,0
48,176,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
40,64,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
37,268,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
46,365,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0
31,169,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0
41,216,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
25,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
39,105,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
30,168,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0
33,89,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
48,356,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
36,203,2,3,2,1,0,1,0,0,0,0,0,1,0,0,0
35,171,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
48,344,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
42,289,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0
42,190,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
42,221,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
39,152,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0
42,22,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
47,297,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
45,321,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0
26,8,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
42,272,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0
30,81,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
37,158,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0
25,75,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
19,15,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
38,239,4,4,2,1,0,1,0,0,0,0,0,1,0,0,0
42,249,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0
23,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
31,41,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
47,346,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
29,140,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
41,316,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0
24,46,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
43,204,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0
33,239,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0
29,69,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0
23,80,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0
40,234,3,3,2,0,0,0,1,0,0,0,0,0,0,1,0
34,134,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
46,303,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
47,343,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0
39,267,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
41,186,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
37,205,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
42,136,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
47,262,3,3,2,0,0,0,0,0,1,0,0,0,0,1,0
39,206,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
49,62,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
31,129,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
42,232,4,4,2,0,0,0,0,1,0,0,0,0,0,1,0
34,160,2,2,2,1,0,0,1,0,0,0,0,0,0,1,0
31,110,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
37,225,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0
37,146,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0
23,16,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
37,197,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
27,116,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
41,290,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
26,51,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
23,67,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
47,274,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0
21,27,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
27,125,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0
43,239,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
41,139,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
38,169,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
25,64,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
48,328,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
45,294,2,2,2,1,0,0,1,0,0,0,0,0,0,1,0
36,139,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
33,121,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
39,182,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
42,278,5,5,3,1,0,1,0,0,0,0,0,0,0,1,0
29,146,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0
34,143,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
33,120,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
45,219,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0
21,60,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
48,185,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
24,71,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
46,303,4,4,3,0,0,0,1,0,0,0,0,0,0,1,0
42,64,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
42,126,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
35,209,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
32,116,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
47,287,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0
